date,currency,cot_index,cot_index_4w_change,net_pct_change_1w,momentum_acceleration,oi_delta_direction,oi_net_confluence,flip_flag,extreme_flag,usd_index_cot,rank_in_8,spread_vs_usd,weeks_since_flip,lev_funds_net_index,asset_mgr_net_direction,dealer_net_contrarian,lev_vs_assetmgr_divergence,rate_diff_vs_usd,rate_diff_trend_3m,rate_hike_expectation,cpi_diff_vs_usd,cpi_trend,pmi_composite_diff,yield_10y_diff,vix_regime,gold_cot_index,oil_cot_direction,month,quarter,label
2006-02-03,GBP,50.0,0.0,-167.06460674157304,-383.0407303370786,1,3,1,0,50.0,1.0,0.0,0.0,50.0,0,50.0,0.0,0.09199000000000002,0.0,-1,0.0,0,0.0,-0.38569999999999993,0,0.0,0.0,2,1,BEAR
2006-02-03,JPY,50.0,0.0,-116.54217242452536,-111.2563543936093,1,3,0,0,50.0,1.0,0.0,178.0,50.0,0,50.0,0.0,-4.390000000000001,0.0,-1,0.0,0,0.0,-2.942,0,0.0,0.0,2,1,NEUTRAL
2006-02-03,NZD,50.0,0.0,-1.9485580670303975,23.460639127045983,1,3,0,0,50.0,1.0,0.0,107.0,50.0,0,50.0,0.0,3.04,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,BEAR
2006-02-10,AUD,50.0,0.0,-28.97327226741404,-62.748649941896225,-1,4,0,0,50.0,1.0,0.0,165.0,50.0,0,50.0,0.0,1.12,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
2006-02-10,CAD,50.0,0.0,19.637712090491945,-7.976736741009498,1,1,0,0,50.0,1.0,0.0,130.0,50.0,0,50.0,0.0,-0.7400000000000002,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,BULL
2006-02-10,CHF,50.0,0.0,-500.0,-500.0,1,3,1,0,50.0,1.0,0.0,0.0,50.0,0,50.0,0.0,-3.4932395,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,BEAR
2006-02-10,EUR,50.0,0.0,-47.872574349953275,-44.8985762190094,-1,4,0,0,50.0,1.0,0.0,156.0,50.0,0,50.0,0.0,0.0,0.0,0,0.0,0,0.0,-1.1174999999999997,0,0.0,0.0,2,1,BEAR
2006-02-10,GBP,50.0,0.0,-500.0,-387.1204188481675,-1,4,0,0,50.0,1.0,0.0,1.0,50.0,0,50.0,0.0,0.09199000000000002,0.0,-1,0.0,0,0.0,-0.43569999999999975,0,0.0,0.0,2,1,BEAR
2006-02-10,JPY,50.0,0.0,-34.97903940591688,18.84057971014493,1,3,0,0,50.0,1.0,0.0,178.0,50.0,0,50.0,0.0,-4.390000000000001,0.0,-1,0.0,0,0.0,-2.992,0,0.0,0.0,2,1,BEAR
2006-02-10,NZD,50.0,0.0,8.664546899841017,10.651828298887123,-1,2,0,0,50.0,1.0,0.0,107.0,50.0,0,50.0,0.0,3.04,0.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,2,1,NEUTRAL
