date,currency,noncomm_long,noncomm_short,open_interest,net,lev_funds_long,lev_funds_short,lev_funds_net,asset_mgr_long,asset_mgr_short,asset_mgr_net,dealer_long,dealer_short,dealer_net
2014-03-25,JPY,17600,86487,158280,-68887,0,0,0,0,0,0,93589,9721,83868
2014-03-25,NZD,26243,8030,32748,18213,0,0,0,0,0,0,884,20030,-19146
2014-03-25,USD,31654,42597,50393,-10943,0,0,0,0,0,0,12455,526,11929
2014-04-01,AUD,35398,40278,93999,-4880,0,0,0,0,0,0,22418,25431,-3013
2014-04-01,CAD,27549,64543,117966,-36994,0,0,0,0,0,0,26035,4045,21990
2014-04-01,CHF,24800,10569,47228,14231,0,0,0,0,0,0,3138,15919,-12781
2014-04-01,EUR,101849,68611,260075,33238,0,0,0,0,0,0,47949,26479,21470
2014-04-01,GBP,75969,42397,211437,33572,0,0,0,0,0,0,8124,98318,-90194
2014-04-01,JPY,22162,110800,188464,-88638,0,0,0,0,0,0,115453,10089,105364
2014-04-01,NZD,25765,7285,32313,18480,0,0,0,0,0,0,946,20777,-19831
2014-04-01,USD,32765,42818,52151,-10053,0,0,0,0,0,0,12457,809,11648
2014-04-08,AUD,37630,34320,96887,3310,0,0,0,0,0,0,21824,32365,-10541
2014-04-08,CAD,28704,63011,120336,-34307,0,0,0,0,0,0,25725,7844,17881
2014-04-08,CHF,19275,7940,44752,11335,0,0,0,0,0,0,9073,14406,-5333
2014-04-08,EUR,92635,69335,261439,23300,0,0,0,0,0,0,58013,26687,31326
2014-04-08,GBP,91642,45165,226667,46477,0,0,0,0,0,0,7659,104778,-97119
2014-04-08,JPY,13340,100802,181814,-87462,0,0,0,0,0,0,112183,13948,98235
2014-04-08,NZD,26521,6755,32898,19766,0,0,0,0,0,0,1055,21825,-20770
2014-04-08,USD,33471,32882,50988,589,0,0,0,0,0,0,9782,8654,1128
2014-04-15,AUD,40463,32366,98933,8097,0,0,0,0,0,0,20538,36234,-15696
2014-04-15,CAD,28288,63714,119525,-35426,0,0,0,0,0,0,23729,11506,12223
2014-04-15,CHF,23905,9839,48976,14066,0,0,0,0,0,0,6634,16371,-9737
2014-04-15,EUR,106252,78564,270722,27688,0,0,0,0,0,0,51748,28306,23442
2014-04-15,GBP,87472,36874,226688,50598,0,0,0,0,0,0,7555,114776,-107221
2014-04-15,JPY,14351,83067,164843,-68716,0,0,0,0,0,0,91562,17182,74380
2014-04-15,NZD,26671,6824,33100,19847,0,0,0,0,0,0,1099,21726,-20627
2014-04-15,USD,36724,37258,52388,-534,0,0,0,0,0,0,9851,7765,2086
2014-04-22,AUD,49540,33170,107696,16370,0,0,0,0,0,0,18499,47811,-29312
2014-04-22,CAD,27529,62984,118707,-35455,0,0,0,0,0,0,23494,12391,11103
2014-04-22,CHF,21732,7709,46888,14023,0,0,0,0,0,0,6582,16006,-9424
2014-04-22,EUR,101204,75430,266259,25774,0,0,0,0,0,0,50580,26292,24288
2014-04-22,GBP,89692,41892,237055,47800,0,0,0,0,0,0,7228,118023,-110795
2014-04-22,JPY,16564,83807,165674,-67243,0,0,0,0,0,0,93996,17017,76979
2014-04-22,NZD,26056,5881,32579,20175,0,0,0,0,0,0,1103,22814,-21711
2014-04-22,USD,34026,35645,50260,-1619,0,0,0,0,0,0,9851,7747,2104
2014-04-29,AUD,50019,39313,109934,10706,0,0,0,0,0,0,22228,44291,-22063
2014-04-29,CAD,30093,60388,123589,-30295,0,0,0,0,0,0,23047,15276,7771
2014-04-29,CHF,21960,8257,47424,13703,0,0,0,0,0,0,6343,16457,-10114
2014-04-29,EUR,102285,76551,271515,25734,0,0,0,0,0,0,50893,29344,21549
2014-04-29,GBP,85913,41679,236030,44234,0,0,0,0,0,0,7645,118040,-110395
2014-04-29,JPY,13846,84198,168820,-70352,0,0,0,0,0,0,99672,15985,83687
2014-04-29,NZD,22979,4499,29858,18480,0,0,0,0,0,0,1341,20984,-19643
2014-04-29,USD,36651,36987,52985,-336,0,0,0,0,0,0,9851,7696,2155
2014-05-06,AUD,44805,36168,104936,8637,0,0,0,0,0,0,21894,40201,-18307
2014-05-06,CAD,28044,59644,122287,-31600,0,0,0,0,0,0,24692,15184,9508
2014-05-06,CHF,25102,11918,55538,13184,0,0,0,0,0,0,5554,20443,-14889
2014-05-06,EUR,110673,78122,277013,32551,0,0,0,0,0,0,41059,35135,5924
2014-05-06,GBP,83794,43148,241264,40646,0,0,0,0,0,0,7652,125746,-118094
2014-05-06,JPY,20381,81109,167093,-60728,0,0,0,0,0,0,87569,17973,69596
2014-05-06,NZD,25027,4334,33025,20693,0,0,0,0,0,0,2074,22878,-20804
2014-05-06,USD,41459,43156,59850,-1697,0,0,0,0,0,0,9862,6647,3215
2014-05-13,AUD,50147,33020,107302,17127,0,0,0,0,0,0,20267,49482,-29215
2014-05-13,CAD,26986,53023,121632,-26037,0,0,0,0,0,0,25514,20885,4629
2014-05-13,CHF,16951,10145,45282,6806,0,0,0,0,0,0,9217,8862,355
